Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Canada Revenue Agency,Ontario,2020-09-21 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-21 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Ontario,2020-09-22 0:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-22 0:00,I609,Exploring the Relationship between UI/UX Design (I609),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-22 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Canada Revenue Agency,Ontario,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Ontario,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Ontario,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Ontario,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Ontario,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Ontario,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Canada Revenue Agency,Ontario,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Ontario,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canada Revenue Agency,Ontario,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canada Revenue Agency,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Canada Revenue Agency,Ontario_NCR,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,Elizabeth McKeown
Canada Revenue Agency,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Canada Revenue Agency,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Canada Revenue Agency,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Canada Revenue Agency,Ontario_NCR,2020-08-06 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Canada Revenue Agency,Ontario_NCR,2020-08-13 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-08-17 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-08-19 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-08-31 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-03 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-04 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-04 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-04 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-08 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-09 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-10 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-10 0:00,I558,Agile Stakeholder Engagement and Team Development (I558),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-10 0:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-10 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-10 0:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-11 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-13 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Canada Revenue Agency,Ontario_NCR,2020-09-14 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-14 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-14 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-14 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-15 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-15 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-15 0:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-15 0:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-16 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-17 0:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-17 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-18 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-18 0:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-21 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-21 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-21 0:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Ontario_NCR,2020-09-22 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-22 0:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-22 0:00,I638,The Essential Role of the Agile Product Owner (I638),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-23 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Ontario_NCR,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,"Daniel Richer, Jean-Marc Dupont"
Canada Revenue Agency,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Canada Revenue Agency,Ontario_NCR,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Ontario_NCR,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Ontario_NCR,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Ontario_NCR,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Elizabeth McKeown
Canada Revenue Agency,Ontario_NCR,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canada Revenue Agency,Outside Canada,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Canada Revenue Agency,Outside Canada,2020-09-17 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Outside Canada,2020-09-22 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Outside Canada,2020-09-23 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Prince Edward Island,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada Revenue Agency,Quebec,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled - Class Cancelled,Cancelled - Normal,Unknown
Canada Revenue Agency,Quebec,2020-09-08 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Quebec,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,Isa David
Canada Revenue Agency,Quebec,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Canada Revenue Agency,Quebec,2020-09-21 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Quebec,2020-09-23 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Canada Revenue Agency,Quebec,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Canada Revenue Agency,Quebec,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Quebec,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canada Revenue Agency,Quebec,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,Isa David
Canada Revenue Agency,Quebec,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Canada School of Public Service,British Columbia,2020-09-14 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,New Brunswick,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Canada School of Public Service,New Brunswick,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Canada School of Public Service,Nova Scotia,2020-09-09 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,Nova Scotia,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canada School of Public Service,Ontario,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Canada School of Public Service,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Unknown
Canada School of Public Service,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Canada School of Public Service,Ontario_NCR,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Richard Landry"
Canada School of Public Service,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Canada School of Public Service,Ontario_NCR,2020-08-20 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,Ontario_NCR,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Canada School of Public Service,Ontario_NCR,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Canada School of Public Service,Ontario_NCR,2020-08-31 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,Ontario_NCR,2020-09-04 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,Ontario_NCR,2020-09-08 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Canada School of Public Service,Ontario_NCR,2020-09-15 0:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,Ontario_NCR,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,Isa David
Canada School of Public Service,Ontario_NCR,2020-09-15 0:00,I637,Reaching Efficient Solutions w Computational Thinking (I637),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canada School of Public Service,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Canada School of Public Service,Ontario_NCR,2020-09-30 0:00,I501,Discover Digital for Executives Module #4 - Share your learning experience: Peer Connect (I501),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
